sepal_length,sepal_width,petal_length,petal_width,species
5.62,2.92,4.39,1.13,versicolor
8.12,3.28,5.41,2.04,virginica
6.77,2.47,5.96,1.73,virginica
7.98,3.05,5.59,2.16,virginica
5.47,3.52,1.25,0.16,setosa
5.46,2.67,4.72,1.31,versicolor
4.82,3.61,1.11,0.22,setosa
6.72,3.55,5.22,2.12,virginica
5.3,2.67,4.24,1.44,versicolor
5.08,3.42,1.69,0.28,setosa
4.57,3.86,1.63,0.19,setosa
4.79,3.43,1.36,0.26,setosa
4.87,2.96,4.18,1.18,versicolor
7.01,3.0,5.81,1.75,virginica
7.45,2.97,5.3,2.41,virginica
5.76,2.81,4.86,1.44,versicolor
4.87,3.5,1.68,0.35,setosa
4.49,3.52,1.36,0.15,setosa
7.35,3.23,6.18,1.84,virginica
8.07,2.76,4.73,1.64,virginica
5.06,3.79,1.48,0.22,setosa
5.18,2.95,1.38,0.14,setosa
6.7,3.65,5.51,1.96,virginica
6.71,2.54,4.67,1.35,versicolor
4.6,3.1,1.51,0.32,setosa
7.3,2.76,5.63,2.08,virginica
5.88,2.46,5.05,1.04,versicolor
7.16,3.13,6.37,2.25,virginica
5.17,2.98,1.57,0.12,setosa
7.0,2.99,5.34,2.15,virginica
5.77,3.29,5.64,2.03,virginica
5.1,3.08,4.64,1.2,versicolor
6.98,3.16,5.4,1.92,virginica
6.26,3.39,5.23,2.25,virginica
4.75,3.3,3.37,1.19,versicolor
5.0,3.42,1.66,0.19,setosa
5.07,3.17,1.09,0.12,setosa
4.94,3.64,1.49,0.35,setosa
5.87,2.83,5.13,1.12,versicolor
7.53,2.64,4.93,2.3,virginica
6.66,3.01,5.63,2.52,virginica
5.93,3.23,6.19,1.96,virginica
4.84,3.39,1.73,0.31,setosa
6.5,3.63,5.64,2.0,virginica
6.8,3.63,6.24,2.14,virginica
5.13,3.23,1.28,0.28,setosa
7.24,3.07,5.83,2.26,virginica
4.92,3.35,1.22,0.2,setosa
5.78,2.6,5.15,1.03,versicolor
5.0,3.08,1.51,0.21,setosa
6.34,3.07,5.98,2.28,virginica
5.55,3.06,4.29,1.81,versicolor
6.06,3.76,5.31,2.48,virginica
7.71,2.59,5.84,2.24,virginica
5.05,3.1,3.72,1.63,versicolor
4.61,3.75,0.85,0.19,setosa
5.94,2.81,3.56,1.39,versicolor
6.43,2.88,4.33,1.19,versicolor
7.09,3.07,5.56,2.03,virginica
4.84,3.48,1.6,0.25,setosa
5.13,3.13,1.79,0.2,setosa
6.23,2.97,5.4,2.26,virginica
5.28,3.69,1.45,0.27,setosa
4.48,3.48,1.26,0.15,setosa
7.31,3.27,6.07,1.72,virginica
5.85,2.65,4.31,1.4,versicolor
5.26,3.47,1.34,0.12,setosa
6.39,2.97,4.91,1.45,versicolor
7.68,2.34,5.33,1.93,virginica
6.76,3.21,5.24,2.6,virginica
6.15,2.88,3.8,1.51,versicolor
4.5,2.98,1.18,0.41,setosa
5.69,3.47,4.03,2.57,virginica
6.26,2.88,4.59,1.34,versicolor
5.12,3.14,1.63,0.14,setosa
6.31,3.26,5.95,1.74,virginica
7.47,3.09,6.74,2.22,virginica
5.07,3.03,1.67,0.14,setosa
6.57,2.55,6.53,1.93,virginica
6.9,2.29,5.58,1.67,virginica
6.27,3.2,5.9,2.25,virginica
5.21,2.91,4.22,1.31,versicolor
4.4,3.34,1.44,0.33,setosa
5.37,3.0,1.37,0.1,setosa
4.86,3.45,1.57,0.32,setosa
7.68,3.25,4.64,1.59,virginica
6.29,3.13,5.67,1.81,virginica
6.16,2.77,4.89,1.98,virginica
6.29,2.86,6.11,1.28,virginica
5.92,3.42,4.05,1.32,versicolor
4.89,3.46,1.67,0.15,setosa
7.13,3.07,5.33,1.99,virginica
6.23,2.56,4.18,1.15,versicolor
5.9,2.82,4.14,1.39,versicolor
6.29,3.38,5.89,2.28,virginica
6.27,3.12,5.82,1.46,virginica
5.53,3.16,1.71,0.26,setosa
6.21,2.65,5.14,1.42,versicolor
5.21,3.47,1.71,0.18,setosa
6.26,2.44,4.11,0.96,versicolor
4.95,3.27,1.61,0.14,setosa
4.88,2.3,4.99,1.1,versicolor
5.92,2.97,4.91,1.02,versicolor
4.38,3.49,1.58,0.18,setosa
4.92,3.59,1.52,0.12,setosa
6.41,3.02,5.82,1.74,virginica
5.29,3.12,1.93,0.3,setosa
5.34,3.66,1.4,0.25,setosa
4.76,3.2,1.92,0.29,setosa
7.0,3.31,5.35,2.34,virginica
4.33,4.14,1.63,0.28,setosa
4.81,3.15,1.56,0.3,setosa
6.21,2.19,4.19,1.29,versicolor
7.43,2.65,6.0,1.6,virginica
6.65,2.6,3.84,1.51,versicolor
6.38,3.31,5.73,1.94,virginica
6.83,2.97,5.58,2.03,virginica
5.36,3.49,1.2,0.2,setosa
5.11,3.48,1.25,0.23,setosa
6.72,3.05,3.67,1.42,versicolor
6.34,2.54,4.5,0.97,versicolor
7.32,2.8,6.1,2.06,virginica
5.36,2.55,4.13,1.39,versicolor
5.61,2.69,4.79,1.66,versicolor
5.12,3.04,1.59,0.23,setosa
5.12,3.56,1.85,0.13,setosa
6.74,2.82,6.47,2.24,virginica
6.22,2.56,5.87,1.84,virginica
4.92,3.13,1.13,0.26,setosa
6.88,2.89,4.04,1.18,versicolor
6.29,2.84,4.74,1.58,virginica
6.64,2.66,4.82,1.34,versicolor
6.88,3.16,6.25,2.56,virginica
5.37,2.62,4.61,1.02,versicolor
5.31,2.99,3.54,1.34,versicolor
6.38,2.75,4.81,1.03,versicolor
4.92,3.06,1.63,0.32,setosa
5.12,3.38,1.62,0.39,setosa
7.22,2.97,6.55,2.04,virginica
6.78,2.96,4.51,0.96,versicolor
6.11,3.2,5.79,2.34,virginica
5.51,3.64,1.96,0.21,setosa
6.74,3.05,4.62,1.29,versicolor
5.54,3.16,1.21,0.25,setosa
5.37,2.62,3.95,1.04,versicolor
6.49,3.04,5.57,2.19,virginica
5.9,2.38,4.69,1.16,versicolor
