timestamp,host,provider,channel,event_id,event_name,domain,user,workstation,source_ip,source_port,logon_type,process,status,sub_status,message,is_attack,attack_type,country,city,latitude,longitude
2026-04-25 00:13:53,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,CORP,crojas,PC-RRHH-002,10.10.121.208,60293,3,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Logoff for CORP\crojas from workstation PC-RRHH-002,0,none,Internal,LAN,,
2026-04-25 00:16:20,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,analista01,LAP-GER-003,192.168.1.101,49754,3,C:\\Windows\\System32\\svchost.exe,0x0,0x0,Successful logon for CORP\analista01 from 192.168.1.101 using logon type 3,0,none,Internal,LAN,,
2026-04-25 00:16:34,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,CORP,alopez,LAP-GER-003,192.168.1.212,61686,2,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Logoff for CORP\alopez from workstation LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 00:17:14,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,mgarcia,LAP-GER-003,10.10.29.23,63265,7,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Successful logon for CORP\mgarcia from 10.10.29.23 using logon type 7,0,none,Internal,LAN,,
2026-04-25 00:17:56,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,lcastro,SRV-MON-001,172.16.20.183,51879,10,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for CORP\lcastro from 172.16.20.183 using logon type 10,0,none,Internal,LAN,,
2026-04-25 00:19:38,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,svc_monitor,PC-OPS-014,10.10.211.133,64848,2,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for EMPRESA\svc_monitor from 10.10.211.133 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:23:48,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,alopez,LAP-GER-003,172.16.20.56,63739,7,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for LOCAL\alopez from 172.16.20.56 using logon type 7,0,none,Internal,LAN,,
2026-04-25 00:24:19,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,dtorres,SRV-MON-001,192.168.1.120,65144,7,C:\\Windows\\System32\\svchost.exe,0x0,0x0,Successful logon for LOCAL\dtorres from 192.168.1.120 using logon type 7,0,none,Internal,LAN,,
2026-04-25 00:28:19,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,finanzas02,PC-RRHH-002,172.16.20.192,59048,2,C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0x0,0x0,Successful logon for CORP\finanzas02 from 172.16.20.192 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:29:17,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,jperez,PC-FIN-001,172.16.20.168,61508,10,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for EMPRESA\jperez from 172.16.20.168 using logon type 10,0,none,Internal,LAN,,
2026-04-25 00:29:51,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,admin.ops,PC-OPS-014,192.168.1.214,63817,2,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Successful logon for EMPRESA\admin.ops from 192.168.1.214 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:30:04,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,lcastro,PC-RRHH-002,172.16.20.214,65501,2,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Successful logon for LOCAL\lcastro from 172.16.20.214 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:31:19,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4648,A logon was attempted using explicit credentials,EMPRESA,helpdesk01,LAP-GER-003,192.168.1.27,64090,2,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Explicit credentials used by EMPRESA\helpdesk01 from LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 00:32:14,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,alopez,PC-RRHH-002,172.16.20.61,54890,2,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for LOCAL\alopez from 172.16.20.61 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:34:31,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,EMPRESA,svc_monitor,LAP-GER-003,172.16.20.103,58457,2,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Process created by EMPRESA\svc_monitor: C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0,none,Internal,LAN,,
2026-04-25 00:36:35,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,CORP,jperez,PC-OPS-014,172.16.20.22,62091,10,C:\\Windows\\System32\\svchost.exe,0x0,0x0,Process created by CORP\jperez: C:\\Windows\\System32\\svchost.exe,0,none,Internal,LAN,,
2026-04-25 00:37:27,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4648,A logon was attempted using explicit credentials,EMPRESA,svc_backup,LAP-GER-003,172.16.20.251,62414,10,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Explicit credentials used by EMPRESA\svc_backup from LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 00:37:43,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,EMPRESA,analista01,LAP-GER-003,172.16.20.109,62836,7,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Process created by EMPRESA\analista01: C:\\Windows\\System32\\cmd.exe,0,none,Internal,LAN,,
2026-04-25 00:39:09,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,dtorres,PC-OPS-014,172.16.20.40,53246,7,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Logoff for EMPRESA\dtorres from workstation PC-OPS-014,0,none,Internal,LAN,,
2026-04-25 00:40:16,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,CORP,analista01,SRV-MON-001,192.168.1.205,61347,10,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Process created by CORP\analista01: C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0,none,Internal,LAN,,
2026-04-25 00:40:25,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,CORP,lcastro,PC-FIN-001,10.10.86.27,61217,10,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Logoff for CORP\lcastro from workstation PC-FIN-001,0,none,Internal,LAN,,
2026-04-25 00:41:53,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4672,Special privileges assigned to new logon,LOCAL,crojas,SRV-MON-001,192.168.1.32,53323,2,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Special privileges assigned to LOCAL\crojas,0,none,Internal,LAN,,
2026-04-25 00:42:02,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,admin.ops,SRV-MON-001,10.10.225.238,50912,10,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for EMPRESA\admin.ops from 10.10.225.238 using logon type 10,0,none,Internal,LAN,,
2026-04-25 00:42:30,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,svc_monitor,PC-RRHH-002,192.168.1.201,50585,10,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Successful logon for LOCAL\svc_monitor from 192.168.1.201 using logon type 10,0,none,Internal,LAN,,
2026-04-25 00:43:27,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,mgarcia,PC-FIN-001,10.10.209.12,51994,2,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Logoff for EMPRESA\mgarcia from workstation PC-FIN-001,0,none,Internal,LAN,,
2026-04-25 00:43:50,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,helpdesk01,PC-RRHH-002,10.10.3.230,53189,3,C:\\Windows\\System32\\svchost.exe,0x0,0x0,Logoff for EMPRESA\helpdesk01 from workstation PC-RRHH-002,0,none,Internal,LAN,,
2026-04-25 00:43:54,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,analista01,PC-OPS-014,172.16.20.176,54433,2,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Successful logon for CORP\analista01 from 172.16.20.176 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:48:04,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,crojas,LAP-GER-003,10.10.67.180,59756,3,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Successful logon for EMPRESA\crojas from 10.10.67.180 using logon type 3,0,none,Internal,LAN,,
2026-04-25 00:49:22,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,analista01,SRV-MON-001,10.10.31.94,55916,2,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for EMPRESA\analista01 from 10.10.31.94 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:51:29,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,LOCAL,svc_monitor,LAP-GER-003,192.168.1.135,62280,2,C:\\Windows\\System32\\svchost.exe,0x0,0x0,Logoff for LOCAL\svc_monitor from workstation LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 00:53:58,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,CORP,helpdesk01,PC-RRHH-002,172.16.20.201,62620,10,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Logoff for CORP\helpdesk01 from workstation PC-RRHH-002,0,none,Internal,LAN,,
2026-04-25 00:54:42,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,alopez,SRV-MON-001,10.10.65.221,54802,7,C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0x0,0x0,Successful logon for CORP\alopez from 10.10.65.221 using logon type 7,0,none,Internal,LAN,,
2026-04-25 00:55:20,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,crojas,PC-FIN-001,192.168.1.229,50300,2,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for LOCAL\crojas from 192.168.1.229 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:57:41,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,svc_backup,LAP-GER-003,172.16.20.138,54492,7,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Logoff for EMPRESA\svc_backup from workstation LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 00:57:42,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,finanzas02,LAP-GER-003,172.16.20.113,51519,2,C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0x0,0x0,Logoff for EMPRESA\finanzas02 from workstation LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 00:59:29,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,jperez,PC-OPS-014,192.168.1.110,50496,7,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Successful logon for CORP\jperez from 192.168.1.110 using logon type 7,0,none,Internal,LAN,,
2026-04-25 01:00:06,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,dtorres,PC-RRHH-002,172.16.20.161,62713,2,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Successful logon for EMPRESA\dtorres from 172.16.20.161 using logon type 2,0,none,Internal,LAN,,
2026-04-25 01:00:26,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,svc_backup,SRV-MON-001,10.10.28.237,64007,2,C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0x0,0x0,Successful logon for EMPRESA\svc_backup from 10.10.28.237 using logon type 2,0,none,Internal,LAN,,
2026-04-25 01:01:54,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,LOCAL,svc_monitor,LAP-GER-003,10.10.124.131,63540,7,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Logoff for LOCAL\svc_monitor from workstation LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 01:02:37,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,EMPRESA,svc_monitor,SRV-MON-001,192.168.1.226,59955,3,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0x0,0x0,Process created by EMPRESA\svc_monitor: C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,0,none,Internal,LAN,,
2026-04-25 01:02:48,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,admin.ops,SRV-MON-001,172.16.20.93,59776,7,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for LOCAL\admin.ops from 172.16.20.93 using logon type 7,0,none,Internal,LAN,,
2026-04-25 01:03:52,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,dtorres,SRV-MON-001,192.168.1.19,55406,2,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Logoff for EMPRESA\dtorres from workstation SRV-MON-001,0,none,Internal,LAN,,
2026-04-25 01:04:02,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,jperez,PC-RRHH-002,192.168.1.247,56710,10,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Successful logon for EMPRESA\jperez from 192.168.1.247 using logon type 10,0,none,Internal,LAN,,
2026-04-25 01:05:09,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,svc_backup,SRV-MON-001,192.168.1.124,55924,2,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Logoff for EMPRESA\svc_backup from workstation SRV-MON-001,0,none,Internal,LAN,,
2026-04-25 01:07:25,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,dtorres,LAP-GER-003,10.10.230.239,53925,10,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for EMPRESA\dtorres from 10.10.230.239 using logon type 10,0,none,Internal,LAN,,
2026-04-25 01:07:30,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,svc_monitor,PC-OPS-014,10.10.121.195,60267,3,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for EMPRESA\svc_monitor from 10.10.121.195 using logon type 3,0,none,Internal,LAN,,
2026-04-25 01:08:45,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,svc_monitor,PC-OPS-014,192.168.1.32,49697,10,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Successful logon for CORP\svc_monitor from 192.168.1.32 using logon type 10,0,none,Internal,LAN,,
2026-04-25 01:10:39,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,finanzas02,SRV-MON-001,10.10.102.6,50563,2,C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0x0,0x0,Successful logon for LOCAL\finanzas02 from 10.10.102.6 using logon type 2,0,none,Internal,LAN,,
2026-04-25 01:13:41,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,analista01,SRV-MON-001,192.168.1.152,56107,10,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Successful logon for LOCAL\analista01 from 192.168.1.152 using logon type 10,0,none,Internal,LAN,,
2026-04-25 01:14:23,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4648,A logon was attempted using explicit credentials,CORP,dtorres,PC-RRHH-002,172.16.20.175,54797,10,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Explicit credentials used by CORP\dtorres from PC-RRHH-002,0,none,Internal,LAN,,
2026-04-25 01:15:26,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,lcastro,PC-OPS-014,192.168.1.176,64728,3,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Logoff for EMPRESA\lcastro from workstation PC-OPS-014,0,none,Internal,LAN,,
2026-04-25 01:20:30,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,dtorres,PC-OPS-014,10.10.128.105,60499,2,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Successful logon for EMPRESA\dtorres from 10.10.128.105 using logon type 2,0,none,Internal,LAN,,
2026-04-25 01:20:30,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,svc_backup,PC-OPS-014,172.16.20.210,58542,10,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for LOCAL\svc_backup from 172.16.20.210 using logon type 10,0,none,Internal,LAN,,
2026-04-25 01:20:31,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,CORP,svc_backup,PC-OPS-014,10.10.232.129,52090,3,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Logoff for CORP\svc_backup from workstation PC-OPS-014,0,none,Internal,LAN,,
2026-04-25 01:23:18,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,svc_monitor,PC-FIN-001,192.168.1.65,50964,10,C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0x0,0x0,Successful logon for CORP\svc_monitor from 192.168.1.65 using logon type 10,0,none,Internal,LAN,,
2026-04-25 01:23:39,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,dtorres,PC-RRHH-002,10.10.128.90,56739,3,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Successful logon for LOCAL\dtorres from 10.10.128.90 using logon type 3,0,none,Internal,LAN,,
2026-04-25 01:29:02,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,LOCAL,crojas,PC-OPS-014,172.16.20.254,65280,7,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Logoff for LOCAL\crojas from workstation PC-OPS-014,0,none,Internal,LAN,,
2026-04-25 01:29:05,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,EMPRESA,finanzas02,PC-OPS-014,192.168.1.183,50669,3,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Process created by EMPRESA\finanzas02: C:\\Windows\\System32\\lsass.exe,0,none,Internal,LAN,,
2026-04-25 01:32:15,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,alopez,SRV-MON-001,192.168.1.11,54673,3,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for EMPRESA\alopez from 192.168.1.11 using logon type 3,0,none,Internal,LAN,,
2026-04-25 01:32:27,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,analista01,PC-RRHH-002,172.16.20.192,60750,10,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Successful logon for EMPRESA\analista01 from 172.16.20.192 using logon type 10,0,none,Internal,LAN,,
2026-04-25 01:34:01,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,alopez,PC-FIN-001,10.10.33.161,55500,2,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for LOCAL\alopez from 10.10.33.161 using logon type 2,0,none,Internal,LAN,,
2026-04-25 01:35:28,WIN-SRV-APP01,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,LOCAL,dtorres,PC-RRHH-002,172.16.20.165,57999,10,C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0x0,0x0,Process created by LOCAL\dtorres: C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0,none,Internal,LAN,,
2026-04-25 01:36:52,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,svc_monitor,LAP-GER-003,172.16.20.142,52988,3,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Logoff for EMPRESA\svc_monitor from workstation LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 01:38:01,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,jperez,PC-RRHH-002,192.168.1.121,52754,7,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Successful logon for LOCAL\jperez from 192.168.1.121 using logon type 7,0,none,Internal,LAN,,
2026-04-25 01:38:49,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4672,Special privileges assigned to new logon,CORP,analista01,PC-OPS-014,192.168.1.238,65005,10,C:\\Program Files\\Microsoft Defender\\MsMpEng.exe,0x0,0x0,Special privileges assigned to CORP\analista01,0,none,Internal,LAN,,
2026-04-25 01:39:02,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,CORP,svc_backup,PC-OPS-014,192.168.1.104,58447,7,C:\\Windows\\System32\\svchost.exe,0x0,0x0,Logoff for CORP\svc_backup from workstation PC-OPS-014,0,none,Internal,LAN,,
2026-04-25 01:40:06,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,EMPRESA,mgarcia,PC-RRHH-002,172.16.20.216,55122,2,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Process created by EMPRESA\mgarcia: C:\\Windows\\System32\\lsass.exe,0,none,Internal,LAN,,
2026-04-25 01:40:20,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,finanzas02,SRV-MON-001,192.168.1.17,57323,10,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for CORP\finanzas02 from 192.168.1.17 using logon type 10,0,none,Internal,LAN,,
2026-04-25 01:40:20,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,jperez,PC-OPS-014,10.10.219.53,54513,2,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Logoff for EMPRESA\jperez from workstation PC-OPS-014,0,none,Internal,LAN,,
2026-04-25 01:40:40,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,analista01,PC-FIN-001,192.168.1.189,49879,7,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for CORP\analista01 from 192.168.1.189 using logon type 7,0,none,Internal,LAN,,
